"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 23 17:55:02 UTC 2025","Wed Jul 23 17:55:02 UTC 2025","468","","com.chorniak.api.tests.book.BookApiTest","","com.chorniak.api.tests.book.BookApiTest","verifyBookNotCreatedWithEmptyBody","verifyBookNotCreatedWithEmptyBody(String) [2]  ","Verify that a book is not created with an incorrect request body"
"passed","Wed Jul 23 17:54:56 UTC 2025","Wed Jul 23 17:54:56 UTC 2025","492","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyAuthorNotUpdatedWithInvalidBody","verifyAuthorNotUpdatedWithInvalidBody(String) [5] {id: 1, firstName: 'Test Author'}","Verify that an author is not updated with an empty request body"
"passed","Wed Jul 23 17:54:47 UTC 2025","Wed Jul 23 17:54:49 UTC 2025","1643","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyGetAllAuthors","verifyGetAllAuthors()","Verify that all authors can be retrieved successfully"
"passed","Wed Jul 23 17:54:44 UTC 2025","Wed Jul 23 17:54:46 UTC 2025","1961","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyGetAuthorByIdNotFound","verifyGetAuthorByIdNotFound(int) [1] -1","Verify that an author is not found when retrieving by an invalid ID"
"passed","Wed Jul 23 17:54:52 UTC 2025","Wed Jul 23 17:54:52 UTC 2025","503","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyGetAuthorById","verifyGetAuthorById()","Verify that an author can be retrieved by their ID"
"passed","Wed Jul 23 17:54:51 UTC 2025","Wed Jul 23 17:54:51 UTC 2025","478","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyAuthorNotCreatedWithInvalidBody","verifyAuthorNotCreatedWithInvalidBody(String) [4] {firstName: 'Test Author'}","Verify that an author is not created with an incorrect request body"
"passed","Wed Jul 23 17:54:57 UTC 2025","Wed Jul 23 17:54:58 UTC 2025","465","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyAuthorDeletedSuccessfully","verifyAuthorDeletedSuccessfully(int) [3] 650","Verify that an author is deleted"
"passed","Wed Jul 23 17:54:56 UTC 2025","Wed Jul 23 17:54:57 UTC 2025","476","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyAuthorDeletedSuccessfully","verifyAuthorDeletedSuccessfully(int) [1] -1","Verify that an author is deleted"
"passed","Wed Jul 23 17:54:59 UTC 2025","Wed Jul 23 17:55:00 UTC 2025","465","","com.chorniak.api.tests.book.BookApiTest","","com.chorniak.api.tests.book.BookApiTest","verifyBookNotUpdatedWithEmptyBody","verifyBookNotUpdatedWithEmptyBody(String) [3] invalid json","Verify that a book is not updated with an empty request body"
"passed","Wed Jul 23 17:54:49 UTC 2025","Wed Jul 23 17:54:49 UTC 2025","635","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyAuthorCreatedSuccessfully","verifyAuthorCreatedSuccessfully()","Verify that an author can be created successfully with a valid request body"
"passed","Wed Jul 23 17:55:00 UTC 2025","Wed Jul 23 17:55:00 UTC 2025","471","","com.chorniak.api.tests.book.BookApiTest","","com.chorniak.api.tests.book.BookApiTest","verifyBookNotUpdatedWithEmptyBody","verifyBookNotUpdatedWithEmptyBody(String) [5] {id: 1, title: 'Test Book'}","Verify that a book is not updated with an empty request body"
"passed","Wed Jul 23 17:54:53 UTC 2025","Wed Jul 23 17:54:53 UTC 2025","510","","com.chorniak.api.tests.author.AuthorApiTest","","com.chorniak.api.tests.author.AuthorApiTest","verifyUpdateAuthor","verifyUpdateAuthor(int) [2] 1","Verify that an author can be updated successfully"
"passed","Wed Jul 23 17:55:10 UTC 2025","Wed Jul 23 17:55:10 UTC 2025","473","","com.chorniak.api.tests.book.BookApiTest","","com.chorniak.api.tests.book.BookApiTest","verifyBookCreatedSuccessfully","verifyBookCreatedSuccessfully()","Verify that a book can be created successfully with a valid request body"
